fillingLimit;name;avgFillingRatePerDay;fillingRate;serialNumber;collectFrequency;fillingRateDate;localisationfo_streetbis;localisationfo_town;localisationfo_name;localisationfo_country;localisationfo_number;localisationfo_street;localisationfo_postalcode;wastecontainermodelfo_usefulcapacity;wastecontainermodelfo_model;wastecontainermodelfo_type;wastecontainermodelfo_manufacturer;wastetype_designation;wastetype_density;geo
100;13010-PM 001;35;57;13010-PM 001;c400;2018-12-22T12:00:00+01:00;;Paris;13010;France;13010;92, Boulevard de Masséna;75013;770;Modèle 770L TRILIB (1220);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.821162, 2.367852
100;13014-PM 002;19;44;13014-PM 002;c400;2018-12-22T12:00:00+01:00;;Paris;13014;France;13014;62, Rue Nationale;75013;770;Modèle 770L TRILIB (1220);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.82583, 2.367423
100;13014-V 001;13;100;13014-V 001;c300;2018-12-22T12:00:00+01:00;;Paris;13014;France;13014;62, Rue Nationale;75013;500;Modèle 500L TRILIB (1220);aerial;PLASTIC OMNIUM;Glass;0.3;48.82583, 2.367423
100;13008-V 001;13;36;13008-V 001;c300;2018-12-22T12:00:00+01:00;;Paris;13008;France;13008;23, Avenue d'Ivry;75013;500;Modèle 500L TRILIB (1180);aerial;PLASTIC OMNIUM;Glass;0.3;48.822352, 2.3675
100;13009-P 001;23;38;13009-P 001;c400;2018-12-22T13:00:00+01:00;;Paris;13009;France;13009;17, Avenue d'Ivry;75013;770;Modèle 770L TRILIB (1170);aerial;PLASTIC OMNIUM;CB;0.2;48.822192, 2.367952
100;18024-PM 001;12;27;18024-PM 001;c400;2018-12-22T13:00:00+01:00;;Paris;18024;France;18024;9, Rue Jean-François Lépine;75018;770;Modèle 770L TRILIB (1200);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.886051, 2.35703
100;19031-PM 001;7;33;19031-PM 001;c400;2018-12-22T12:00:00+01:00;;Paris;19031;France;19031;12, Avenue Ambroise Rendu;75019;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.885009, 2.396018
100;18024-V 001;13;28;18024-V 001;c300;2018-12-22T12:00:00+01:00;;Paris;18024;France;18024;9, Rue Jean-François Lépine;75018;500;Modèle 500L TRILIB (1190);aerial;PLASTIC OMNIUM;Glass;0.3;48.886051, 2.35703
100;18015-PM 001;17;66;18015-PM 001;c400;2018-12-22T13:00:00+01:00;;Paris;18015;France;18015;6, Place Hébert;75018;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.893305, 2.363492
100;18022-V 001;16;100;18022-V 001;c300;2018-12-22T12:00:00+01:00;;Paris;18022;France;18022;25, Rue Doudeauville;75018;500;Modèle 500L TRILIB (1220);aerial;PLASTIC OMNIUM;Glass;0.3;48.888548, 2.355901
100;19029-V 001;9;100;19029-V 001;c300;2018-12-22T12:00:00+01:00;;Paris;19029;France;19029;75, Rue de l’Ourcq;75019;500;Modèle 500L TRILIB (1220);aerial;PLASTIC OMNIUM;Glass;0.3;48.892484, 2.378161
100;18016-P 001;15;40;18016-P 001;c400;2018-12-22T12:00:00+01:00;;Paris;18016;France;18016;29, Rue des Roses;75018;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;CB;0.2;48.893238, 2.360379
100;18019-P 001;13;52;18019-P 001;c400;2018-12-22T12:00:00+01:00;;Paris;18019;France;18019;40, Rue de Torcy;75018;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;CB;0.2;48.891356, 2.361747
100;18017-V 001;1;18;18017-V 001;c300;2018-12-22T12:00:00+01:00;;Paris;18017;France;18017;12, Rue Ordener;75018;500;Modèle 500L TRILIB (1220);aerial;PLASTIC OMNIUM;Glass;0.3;48.890392, 2.358258
100;18017-P 001;9;19;18017-P 001;c400;2018-12-22T13:00:00+01:00;;Paris;18017;France;18017;12, Rue Ordener;75018;770;Modèle 770L TRILIB (1220);aerial;PLASTIC OMNIUM;CB;0.2;48.890392, 2.358258
100;19038-PM 002;3;20;19038-PM 002;c400;2018-12-22T13:00:00+01:00;;Paris;19038;France;19038;38, Quai de la Loire;75019;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.884968, 2.374505
100;19040-PM 002;7;9;19040-PM 002;c400;2018-12-22T12:00:00+01:00;;Paris;19040;France;19040;63, Quai de la Seine;75019;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.887823, 2.37633
100;19035-PM 001;12;55;19035-PM 001;c400;2018-12-22T12:00:00+01:00;;Paris;19035;France;19035;28, Rue Miguel Hidalgo;75019;770;Modèle 770L TRILIB (1190);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.881214, 2.391031
100;19034-PM 001;13;87;19034-PM 001;c400;2018-12-22T12:00:00+01:00;;Paris;19034;France;19034;39, Rue Mouzaïa;75019;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.880301, 2.394213
100;19031-V 001;1;32;19031-V 001;c300;2018-12-22T12:00:00+01:00;;Paris;19031;France;19031;12, Avenue Ambroise Rendu;75019;500;Modèle 500L TRILIB (1180);aerial;PLASTIC OMNIUM;Glass;0.3;48.885009, 2.396018
100;19037-P 001;3;24;19037-P 001;c400;2018-12-22T12:00:00+01:00;;Paris;19037;France;19037;5, Rue de la Prévoyance;75019;770;Modèle 770L TRILIB (1190);aerial;PLASTIC OMNIUM;CB;0.2;48.882724, 2.392037
100;19035-V 001;11;15;19035-V 001;c300;2018-12-22T14:00:00+01:00;;Paris;19035;France;19035;28, Rue Miguel Hidalgo;75019;500;Modèle 500L TRILIB (1190);aerial;PLASTIC OMNIUM;Glass;0.3;48.881214, 2.391031
100;19033-V 001;9;30;19033-V 001;c300;2018-12-22T12:00:00+01:00;;Paris;19033;France;19033;5, Rue de l’égalité;75019;500;Modèle 500L TRILIB (1180);aerial;PLASTIC OMNIUM;Glass;0.3;48.881307, 2.394232
100;19034-V 001;25;33;19034-V 001;c300;2018-12-22T12:00:00+01:00;;Paris;19034;France;19034;39, Rue Mouzaïa;75019;500;Modèle 500L TRILIB (1180);aerial;PLASTIC OMNIUM;Glass;0.3;48.880301, 2.394213
100;2002-P 001;17;25;2002-P 001;c400;2018-11-20T21:00:00+01:00;;Paris;2002;France;2002;25, Rue de la Lune;75002;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;CB;0.2;48.869755, 2.349846
100;2007-V 001;9;0;2007-V 001;c300;2018-12-22T12:00:00+01:00;;Paris;2007;France;2007;7, Rue Monsigny;75002;500;Modèle 500L TRILIB (1210);aerial;PLASTIC OMNIUM;Glass;0.3;48.868618, 2.335168
100;2005-V 001;21;100;2005-V 001;c300;2018-12-22T14:00:00+01:00;;Paris;2005;France;2005;6, Rue Feydau;75002;500;Modèle 500L TRILIB (1190);aerial;PLASTIC OMNIUM;Glass;0.3;48.870111, 2.341539
100;2005-P 001;11;40;2005-P 001;c400;2018-12-22T12:00:00+01:00;;Paris;2005;France;2005;6, Rue Feydau;75002;770;Modèle 770L TRILIB (1190);aerial;PLASTIC OMNIUM;CB;0.2;48.870111, 2.341539
100;2006-P 001;13;29;2006-P 001;c400;2018-12-22T12:00:00+01:00;;Paris;2006;France;2006;3, Rue Rameau;75002;770;Modèle 770L TRILIB (1150);aerial;PLASTIC OMNIUM;CB;0.2;48.867729, 2.337622
100;19036-PM 001;9;44;19036-PM 001;c400;2018-12-22T12:00:00+01:00;;Paris;19036;France;19036;12, Rue de la solidarité;75019;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.883751, 2.391494
100;19037-PM 001;4;20;19037-PM 001;c400;2018-12-22T12:00:00+01:00;;Paris;19037;France;19037;5, Rue de la Prévoyance;75019;770;Modèle 770L TRILIB (1190);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.882724, 2.392037
100;18016-PM 001;7;36;18016-PM 001;c400;2018-12-22T05:00:00+01:00;;Paris;18016;France;18016;29, Rue des Roses;75018;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.893238, 2.360379
100;2002-PM 001;10;31;2002-PM 001;c400;2018-09-30T05:00:00+02:00;;Paris;2002;France;2002;25, Rue de la Lune;75002;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.869755, 2.349846
100;18018-PM 001;14;44;18018-PM 001;c400;2018-12-22T12:00:00+01:00;;Paris;18018;France;18018;17, Rue de Torcy;75018;770;Modèle 770L TRILIB (1210);aerial;PLASTIC OMNIUM;Can / Plastic;0.04;48.891197, 2.363573
100;19036-P 001;3;25;19036-P 001;c400;2018-12-22T12:00:00+01:00;;Paris;19036;France;19036;12, Rue de la solidarité;75019;770;Modèle 770L TRILIB (1180);aerial;PLASTIC OMNIUM;CB;0.2;48.883751, 2.391494
